From	To
A8JEJ8	5726735
A8JI60	5729168
A8LV05	5705625
A8MBU0	5708586
A8MPS7	150223
A8MQH1	838138
A8N2G5	6005414
A8N2Z2	6005653
A8N3P5	6005942
A8N8Z1	6007790
A8NBN1	6008713
A8NE23	6009414
A8NIX3	6010598
A8NNP9	6011699
A8NS89	6096670
A8NU13	6012899
A8NVR5	6013290
A8P7P2	6016016
A8PUY1	5856510
A8PUY5	5856512
A8PYK0	5855801
A8Q3I7	5854926
A8QCW4	5853193
A8QDF0	5853009
A8QMW6	28887448
A8QW53	8080259
A8R9L0	5783789
A8RRU3	11436267
A8TUB4	100126538
A8TUC0	100126537
A8UGP3	102577691
A8W790	56593229
A8W7G1	8355994
A8WCU3	107962250
A8WEL5	106756346
A8WEN5	431066
A8WGA0	558396
A8YPP2	58134821
A9A677	5739084
A9A9N9	5739038
A9C3R8	100004076
A9C3R9	100002865
A9CG65	56373551
A9CG66	56373550
A9CK16	56371307
A9CQM6	61440281
A9JPD4	100127351
A9LDD9	100144628
A9LRT6	100134904
A9LRT7	100134905
A9NG65	41338891
A9P830	7493466
A9PF83	7480140
A9PL23	107926247
A9QH69	61460159
A9QNE7	100136887
A9QXF0	100136828
A9U908	61906001
A9UK00	100136944
A9ULF7	100135009
A9UVU0	5890055
A9V766	5893793
A9XK92	8279047
A9XUG5	8278580
A9XUG7	107959873
A9XUG8	107934412
A9YD19	447801
A9ZMJ0	107814657
B0BMT9	691966
B0BNM1	295229
B0CN48	553510
B0CV22	6071948
B0DA99	6076200
B0F481	835863
B0FDL7	107957615
B0FDL7	107959396
B0FLU6	425396
B0I1G6	100141426
B0LF77	103629820
B0M0V1	100141424
B0NAQ4	62697204
B0NGC5	62694907
B0R4T2	5953829
B0R7W1	5953388
B0R7W1	62887690
B0R9W3	5954961
B0R9W3	62888204
B0UXN0	100004382
B0UXS0	791518
B0UYE4	564424
B1AXV0	230235
B1B538	100170749
B1GV57	830765
B1H189	100145321
B1L5S3	6094333
B1MG17	57083486
B1MG73	57083542
B1MKV6	57084323
B1MNM5	57081639
B1N2N4	6219398
B1N7J5	45524646
B1NYI6	104454655
B1NYI7	104436967
B1P123	100147731
B1PRL6	7017190
B1Q002	29572688
B1Q3J6	4342575
